trial_key,model,scenario,condition,skill_level,skill_method,mutation_type,temperature,run_id,skill_tokens,passed,n_pass,n_total,pass_rate,error_type,code_lines,code_length,import_count,function_count,try_except_count,has_argparse,input_tokens,output_tokens
S005_protein_parse__haiku__L2_plus_scripts__direct__t0.0__r0,haiku,S005_protein_parse,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,964,True,12,12,1.0,success,200,6728,5,4,2,True,1995,2638
S005_protein_parse__haiku__L3_no_assets__direct__t0.0__r0,haiku,S005_protein_parse,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1150,True,12,12,1.0,success,200,6823,5,4,2,True,2314,2597
S005_protein_parse__haiku__L4_full__direct__t0.0__r0,haiku,S005_protein_parse,L4_full__direct,L4_full,direct,none,0.0,0,1150,True,12,12,1.0,success,200,6823,5,4,2,True,2314,2597
S005_protein_parse__sonnet__L0_none__t0.0__r0,sonnet,S005_protein_parse,L0_none,L0_none,none,none,0.0,0,0,True,12,12,1.0,success,309,9192,6,11,3,True,171,2981
S005_protein_parse__sonnet__L1_skill_md__direct__t0.0__r0,sonnet,S005_protein_parse,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,387,True,12,12,1.0,success,253,8287,6,12,3,True,638,2677
S005_protein_parse__sonnet__L2_plus_scripts__direct__t0.0__r0,sonnet,S005_protein_parse,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,964,True,12,12,1.0,success,145,4885,5,4,2,True,1995,1721
S005_protein_parse__sonnet__L3_no_assets__direct__t0.0__r0,sonnet,S005_protein_parse,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1150,True,12,12,1.0,success,145,4885,5,4,2,True,2314,1731
S005_protein_parse__sonnet__L4_full__direct__t0.0__r0,sonnet,S005_protein_parse,L4_full__direct,L4_full,direct,none,0.0,0,1150,True,12,12,1.0,success,145,4885,5,4,2,True,2314,1731
S005_protein_parse__opus__L0_none__t0.0__r0,opus,S005_protein_parse,L0_none,L0_none,none,none,0.0,0,0,True,12,12,1.0,success,212,7167,6,9,8,True,171,2226
S005_protein_parse__opus__L1_skill_md__direct__t0.0__r0,opus,S005_protein_parse,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,387,True,12,12,1.0,success,218,6869,5,11,2,True,638,2114
S005_protein_parse__opus__L2_plus_scripts__direct__t0.0__r0,opus,S005_protein_parse,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,964,True,12,12,1.0,success,145,4885,5,4,2,True,1995,1767
S005_protein_parse__opus__L3_no_assets__direct__t0.0__r0,opus,S005_protein_parse,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1150,True,12,12,1.0,success,145,4885,5,4,2,True,2314,1798
S005_protein_parse__opus__L4_full__direct__t0.0__r0,opus,S005_protein_parse,L4_full__direct,L4_full,direct,none,0.0,0,1150,True,12,12,1.0,success,145,4885,5,4,2,True,2314,1798
S005_protein_parse__gpt4o__L0_none__t0.0__r0,gpt4o,S005_protein_parse,L0_none,L0_none,none,none,0.0,0,0,False,10,12,0.8333,logic_error,78,2871,4,2,0,True,153,1033
S005_protein_parse__gpt4o__L1_skill_md__direct__t0.0__r0,gpt4o,S005_protein_parse,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,387,True,12,12,1.0,success,84,3162,4,2,2,True,583,1060
S005_protein_parse__gpt4o__L2_plus_scripts__direct__t0.0__r0,gpt4o,S005_protein_parse,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,964,True,12,12,1.0,success,145,4885,5,4,2,True,1664,1181
S005_protein_parse__gpt4o__L3_no_assets__direct__t0.0__r0,gpt4o,S005_protein_parse,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1150,True,12,12,1.0,success,145,4885,5,4,2,True,1934,1245
S005_protein_parse__gpt4o__L4_full__direct__t0.0__r0,gpt4o,S005_protein_parse,L4_full__direct,L4_full,direct,none,0.0,0,1150,True,12,12,1.0,success,145,4885,5,4,2,True,1934,1244
S005_protein_parse__gpt41__L0_none__t0.0__r0,gpt41,S005_protein_parse,L0_none,L0_none,none,none,0.0,0,0,True,12,12,1.0,success,89,3319,4,2,0,True,153,881
S005_protein_parse__gpt41__L1_skill_md__direct__t0.0__r0,gpt41,S005_protein_parse,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,387,True,12,12,1.0,success,122,4146,5,4,1,True,583,1039
S005_protein_parse__gpt41__L2_plus_scripts__direct__t0.0__r0,gpt41,S005_protein_parse,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,964,True,12,12,1.0,success,115,3431,5,3,2,True,1664,866
S005_protein_parse__gpt41__L3_no_assets__direct__t0.0__r0,gpt41,S005_protein_parse,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1150,True,12,12,1.0,success,112,4156,5,4,2,True,1934,1053
S005_protein_parse__gpt41__L4_full__direct__t0.0__r0,gpt41,S005_protein_parse,L4_full__direct,L4_full,direct,none,0.0,0,1150,True,12,12,1.0,success,118,3598,5,3,2,True,1934,922
S005_protein_parse__gemini_pro__L0_none__t0.0__r0,gemini_pro,S005_protein_parse,L0_none,L0_none,none,none,0.0,0,0,True,12,12,1.0,success,110,3836,4,2,2,True,157,2211
S005_protein_parse__gemini_pro__L1_skill_md__direct__t0.0__r0,gemini_pro,S005_protein_parse,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,387,True,12,12,1.0,success,107,3709,5,3,1,True,595,1862
S005_protein_parse__gemini_pro__L2_plus_scripts__direct__t0.0__r0,gemini_pro,S005_protein_parse,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,964,True,12,12,1.0,success,149,5555,5,4,1,True,1925,3344
S005_protein_parse__gemini_pro__L3_no_assets__direct__t0.0__r0,gemini_pro,S005_protein_parse,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1150,True,12,12,1.0,success,165,5910,5,4,1,True,2222,2828
S005_protein_parse__gemini_pro__L4_full__direct__t0.0__r0,gemini_pro,S005_protein_parse,L4_full__direct,L4_full,direct,none,0.0,0,1150,True,12,12,1.0,success,164,5878,5,4,1,True,2222,2743
S007_data_viz__haiku__L0_none__t0.0__r0,haiku,S007_data_viz,L0_none,L0_none,none,none,0.0,0,0,True,8,8,1.0,success,288,8576,8,7,2,True,170,3228
S007_data_viz__haiku__L1_skill_md__direct__t0.0__r0,haiku,S007_data_viz,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,343,True,8,8,1.0,success,386,12059,10,10,4,True,606,4214
S007_data_viz__haiku__L2_plus_scripts__direct__t0.0__r0,haiku,S007_data_viz,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,973,True,8,8,1.0,success,161,5421,8,5,2,True,2341,2288
S007_data_viz__haiku__L3_no_assets__direct__t0.0__r0,haiku,S007_data_viz,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1272,True,8,8,1.0,success,167,5427,8,5,2,True,3038,2627
S007_data_viz__haiku__L4_full__direct__t0.0__r0,haiku,S007_data_viz,L4_full__direct,L4_full,direct,none,0.0,0,1272,True,8,8,1.0,success,167,5427,8,5,2,True,3038,2628
S007_data_viz__sonnet__L0_none__t0.0__r0,sonnet,S007_data_viz,L0_none,L0_none,none,none,0.0,0,0,True,8,8,1.0,success,195,6268,9,5,1,True,170,2896
S007_data_viz__sonnet__L1_skill_md__direct__t0.0__r0,sonnet,S007_data_viz,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,343,True,8,8,1.0,success,284,9113,9,7,2,True,606,3136
S007_data_viz__sonnet__L2_plus_scripts__direct__t0.0__r0,sonnet,S007_data_viz,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,973,True,8,8,1.0,success,161,5421,8,5,2,True,2341,2057
S007_data_viz__sonnet__L3_no_assets__direct__t0.0__r0,sonnet,S007_data_viz,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1272,True,8,8,1.0,success,161,5421,8,5,2,True,3038,2086
S007_data_viz__sonnet__L4_full__direct__t0.0__r0,sonnet,S007_data_viz,L4_full__direct,L4_full,direct,none,0.0,0,1272,True,8,8,1.0,success,161,5421,8,5,2,True,3038,2086
S007_data_viz__opus__L0_none__t0.0__r0,opus,S007_data_viz,L0_none,L0_none,none,none,0.0,0,0,True,8,8,1.0,success,196,5972,9,8,1,True,170,2212
S007_data_viz__opus__L1_skill_md__direct__t0.0__r0,opus,S007_data_viz,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,343,True,8,8,1.0,success,253,8003,9,8,2,True,606,2911
S007_data_viz__opus__L2_plus_scripts__direct__t0.0__r0,opus,S007_data_viz,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,973,True,8,8,1.0,success,161,5421,8,5,2,True,2341,2183
S007_data_viz__opus__L3_no_assets__direct__t0.0__r0,opus,S007_data_viz,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1272,True,8,8,1.0,success,161,5421,8,5,2,True,3038,2039
S007_data_viz__opus__L4_full__direct__t0.0__r0,opus,S007_data_viz,L4_full__direct,L4_full,direct,none,0.0,0,1272,True,8,8,1.0,success,161,5421,8,5,2,True,3038,2039
S007_data_viz__gpt4o__L0_none__t0.0__r0,gpt4o,S007_data_viz,L0_none,L0_none,none,none,0.0,0,0,True,8,8,1.0,success,64,2271,6,1,0,True,150,919
S007_data_viz__gpt4o__L1_skill_md__direct__t0.0__r0,gpt4o,S007_data_viz,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,343,False,1,8,0.125,logic_error,101,4130,6,6,1,True,545,1196
S007_data_viz__gpt4o__L2_plus_scripts__direct__t0.0__r0,gpt4o,S007_data_viz,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,973,True,8,8,1.0,success,161,5421,8,5,2,True,1880,1444
S007_data_viz__gpt4o__L3_no_assets__direct__t0.0__r0,gpt4o,S007_data_viz,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1272,True,8,8,1.0,success,161,5413,8,5,2,True,2470,1458
S007_data_viz__gpt4o__L4_full__direct__t0.0__r0,gpt4o,S007_data_viz,L4_full__direct,L4_full,direct,none,0.0,0,1272,True,8,8,1.0,success,161,5413,8,5,2,True,2470,1458
S007_data_viz__gpt41__L0_none__t0.0__r0,gpt41,S007_data_viz,L0_none,L0_none,none,none,0.0,0,0,True,8,8,1.0,success,92,3201,7,1,1,True,150,925
S007_data_viz__gpt41__L1_skill_md__direct__t0.0__r0,gpt41,S007_data_viz,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,343,True,8,8,1.0,success,111,4156,7,1,2,True,545,1142
S007_data_viz__gpt41__L2_plus_scripts__direct__t0.0__r0,gpt41,S007_data_viz,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,973,True,8,8,1.0,success,110,4017,8,5,1,True,1880,1097
S007_data_viz__gpt41__L3_no_assets__direct__t0.0__r0,gpt41,S007_data_viz,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1272,True,8,8,1.0,success,115,4167,8,5,2,True,2470,1113
S007_data_viz__gpt41__L4_full__direct__t0.0__r0,gpt41,S007_data_viz,L4_full__direct,L4_full,direct,none,0.0,0,1272,True,8,8,1.0,success,111,4058,8,5,1,True,2470,1089
S007_data_viz__gemini_pro__L0_none__t0.0__r0,gemini_pro,S007_data_viz,L0_none,L0_none,none,none,0.0,0,0,True,8,8,1.0,success,199,6697,7,5,1,True,151,4940
S007_data_viz__gemini_pro__L1_skill_md__direct__t0.0__r0,gemini_pro,S007_data_viz,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,343,True,8,8,1.0,success,93,3319,6,1,1,True,550,1832
S007_data_viz__gemini_pro__L2_plus_scripts__direct__t0.0__r0,gemini_pro,S007_data_viz,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,973,True,8,8,1.0,success,202,6932,8,5,2,True,2195,3253
S007_data_viz__gemini_pro__L3_no_assets__direct__t0.0__r0,gemini_pro,S007_data_viz,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1272,True,8,8,1.0,success,222,7601,8,5,2,True,2847,3980
S007_data_viz__gemini_pro__L4_full__direct__t0.0__r0,gemini_pro,S007_data_viz,L4_full__direct,L4_full,direct,none,0.0,0,1272,True,8,8,1.0,success,149,5123,8,5,2,True,2846,2584
S011_particle_physics__haiku__L0_none__t0.0__r0,haiku,S011_particle_physics,L0_none,L0_none,none,none,0.0,0,0,True,12,12,1.0,success,406,11594,7,2,3,True,255,4366
S011_particle_physics__haiku__L1_skill_md__direct__t0.0__r0,haiku,S011_particle_physics,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,344,False,11,12,0.9167,logic_error,432,14261,8,1,7,True,692,4702
S011_particle_physics__haiku__L2_plus_scripts__direct__t0.0__r0,haiku,S011_particle_physics,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,1202,True,12,12,1.0,success,420,13926,6,8,6,True,2888,5137
S011_particle_physics__haiku__L3_no_assets__direct__t0.0__r0,haiku,S011_particle_physics,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1515,True,12,12,1.0,success,394,13666,6,8,6,True,3571,5041
S011_particle_physics__haiku__L4_full__direct__t0.0__r0,haiku,S011_particle_physics,L4_full__direct,L4_full,direct,none,0.0,0,1515,True,12,12,1.0,success,394,13666,6,8,6,True,3571,5041
S011_particle_physics__sonnet__L0_none__t0.0__r0,sonnet,S011_particle_physics,L0_none,L0_none,none,none,0.0,0,0,True,12,12,1.0,success,300,9581,7,10,4,True,255,3291
S011_particle_physics__sonnet__L1_skill_md__direct__t0.0__r0,sonnet,S011_particle_physics,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,344,True,12,12,1.0,success,302,10386,7,9,3,True,692,3461
S011_particle_physics__sonnet__L2_plus_scripts__direct__t0.0__r0,sonnet,S011_particle_physics,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,1202,True,12,12,1.0,success,200,7107,6,8,3,True,2888,2621
S011_particle_physics__sonnet__L3_no_assets__direct__t0.0__r0,sonnet,S011_particle_physics,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1515,True,12,12,1.0,success,200,7107,6,8,3,True,3571,2635
S011_particle_physics__sonnet__L4_full__direct__t0.0__r0,sonnet,S011_particle_physics,L4_full__direct,L4_full,direct,none,0.0,0,1515,True,12,12,1.0,success,200,7107,6,8,3,True,3571,2604
S011_particle_physics__opus__L0_none__t0.0__r0,opus,S011_particle_physics,L0_none,L0_none,none,none,0.0,0,0,False,7,9,0.7778,runtime_error,236,7218,6,8,2,True,255,2736
S011_particle_physics__opus__L1_skill_md__direct__t0.0__r0,opus,S011_particle_physics,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,344,True,12,12,1.0,success,234,7792,7,7,2,True,692,3051
S011_particle_physics__opus__L2_plus_scripts__direct__t0.0__r0,opus,S011_particle_physics,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,1202,True,12,12,1.0,success,200,7107,6,8,3,True,2888,2793
S011_particle_physics__opus__L3_no_assets__direct__t0.0__r0,opus,S011_particle_physics,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1515,False,0,0,0,format_error,0,0,0,0,0,False,3571,2577
S011_particle_physics__opus__L4_full__direct__t0.0__r0,opus,S011_particle_physics,L4_full__direct,L4_full,direct,none,0.0,0,1515,False,1,12,0.0833,logic_error,1,17,0,0,0,False,3571,2750
S011_particle_physics__gpt4o__L0_none__t0.0__r0,gpt4o,S011_particle_physics,L0_none,L0_none,none,none,0.0,0,0,True,12,12,1.0,success,108,3719,5,6,0,True,223,1181
S011_particle_physics__gpt4o__L1_skill_md__direct__t0.0__r0,gpt4o,S011_particle_physics,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,344,True,12,12,1.0,success,128,4276,5,5,2,True,636,1162
S011_particle_physics__gpt4o__L2_plus_scripts__direct__t0.0__r0,gpt4o,S011_particle_physics,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,1202,True,12,12,1.0,success,164,5948,5,8,3,True,2349,1464
S011_particle_physics__gpt4o__L3_no_assets__direct__t0.0__r0,gpt4o,S011_particle_physics,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1515,True,12,12,1.0,success,172,6093,5,8,3,True,2918,1502
S011_particle_physics__gpt4o__L4_full__direct__t0.0__r0,gpt4o,S011_particle_physics,L4_full__direct,L4_full,direct,none,0.0,0,1515,True,12,12,1.0,success,172,6088,5,8,3,True,2918,1502
S011_particle_physics__gpt41__L0_none__t0.0__r0,gpt41,S011_particle_physics,L0_none,L0_none,none,none,0.0,0,0,False,7,9,0.7778,runtime_error,84,3153,5,5,0,True,223,941
S011_particle_physics__gpt41__L1_skill_md__direct__t0.0__r0,gpt41,S011_particle_physics,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,344,True,12,12,1.0,success,190,5944,6,5,5,True,636,1502
S011_particle_physics__gpt41__L2_plus_scripts__direct__t0.0__r0,gpt41,S011_particle_physics,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,1202,True,12,12,1.0,success,199,7082,5,8,3,True,2349,1869
S011_particle_physics__gpt41__L3_no_assets__direct__t0.0__r0,gpt41,S011_particle_physics,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1515,True,12,12,1.0,success,199,7082,5,8,3,True,2918,1887
S011_particle_physics__gpt41__L4_full__direct__t0.0__r0,gpt41,S011_particle_physics,L4_full__direct,L4_full,direct,none,0.0,0,1515,True,12,12,1.0,success,138,5113,5,9,3,True,2918,1435
S011_particle_physics__gemini_pro__L0_none__t0.0__r0,gemini_pro,S011_particle_physics,L0_none,L0_none,none,none,0.0,0,0,True,12,12,1.0,success,233,7809,6,6,4,True,247,6933
S011_particle_physics__gemini_pro__L1_skill_md__direct__t0.0__r0,gemini_pro,S011_particle_physics,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,344,True,12,12,1.0,success,243,8424,6,3,3,True,664,5886
S011_particle_physics__gemini_pro__L2_plus_scripts__direct__t0.0__r0,gemini_pro,S011_particle_physics,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,1202,True,12,12,1.0,success,215,8248,6,8,3,True,2817,4235
S011_particle_physics__gemini_pro__L3_no_assets__direct__t0.0__r0,gemini_pro,S011_particle_physics,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1515,True,12,12,1.0,success,175,6200,5,7,3,True,3496,2691
S011_particle_physics__gemini_pro__L4_full__direct__t0.0__r0,gemini_pro,S011_particle_physics,L4_full__direct,L4_full,direct,none,0.0,0,1515,True,12,12,1.0,success,201,7207,6,8,3,True,3496,2842
S012_uv_spectroscopy__haiku__L0_none__t0.0__r0,haiku,S012_uv_spectroscopy,L0_none,L0_none,none,none,0.0,0,0,False,11,12,0.9167,logic_error,367,10898,9,3,1,True,217,3709
S012_uv_spectroscopy__haiku__L1_skill_md__direct__t0.0__r0,haiku,S012_uv_spectroscopy,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,399,True,12,12,1.0,success,379,11812,8,8,4,True,717,4007
S012_uv_spectroscopy__haiku__L2_plus_scripts__direct__t0.0__r0,haiku,S012_uv_spectroscopy,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,975,False,11,12,0.9167,logic_error,306,9213,6,5,3,True,2172,3362
S012_uv_spectroscopy__haiku__L3_no_assets__direct__t0.0__r0,haiku,S012_uv_spectroscopy,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1301,False,11,12,0.9167,logic_error,316,10097,6,4,4,True,2954,3654
S012_uv_spectroscopy__haiku__L4_full__direct__t0.0__r0,haiku,S012_uv_spectroscopy,L4_full__direct,L4_full,direct,none,0.0,0,1301,False,11,12,0.9167,logic_error,316,10097,6,4,4,True,2954,3567
S012_uv_spectroscopy__sonnet__L0_none__t0.0__r0,sonnet,S012_uv_spectroscopy,L0_none,L0_none,none,none,0.0,0,0,False,0,12,0.0,logic_error,278,8852,8,6,2,True,217,3155
S012_uv_spectroscopy__sonnet__L1_skill_md__direct__t0.0__r0,sonnet,S012_uv_spectroscopy,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,399,False,0,12,0.0,logic_error,271,9052,7,7,4,True,717,3017
S012_uv_spectroscopy__sonnet__L2_plus_scripts__direct__t0.0__r0,sonnet,S012_uv_spectroscopy,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,975,False,11,12,0.9167,logic_error,139,5037,5,3,1,True,2172,1966
